EAN,categorie,Rayon,Libelle_produit,prix,EAN
1207117781704,Produits Secs & Conserves,produits patisserie,20ml arome citron vahine,"1,58",1207117781704
8070337763200,Produits Secs & Conserves,produits patisserie,20ml arome orange vahine,"1,58",8070337763200
2424473082304,Produits Secs & Conserves,produits patisserie,20ml extrait cafe vahine,"1,54",2424473082304
7832824761308,Produits Secs & Conserves,produits patisserie,7g vanille poudre sucree vahin,"3,81",7832824761308
490191906547,Produits Secs & Conserves,produits patisserie,700g napp.caramel nature vahin,"4,85",490191906547
7666177152106,Produits Secs & Conserves,produits patisserie,200ml arom.vanil.artific.vahin,"4,07",7666177152106
526744548452,Produits Secs & Conserves,produits patisserie,100g pralin vahine,"2,49",526744548452
9537244931717,Produits Secs & Conserves,produits patisserie,65g vermicelles choco. vahine,"2,09",9537244931717
8314305780951,Produits Secs & Conserves,produits patisserie,80g perles multicolores vahine,"2,09",8314305780951
5665457832203,Produits Secs & Conserves,produits patisserie,65g vermic.arc en ciel vahine,"2,15",5665457832203
7262768717598,Produits Secs & Conserves,produits patisserie,125g amandes decortiquees vahi,"4,27",7262768717598
9036880213078,Produits Secs & Conserves,produits patisserie,125g amandes emondees vahine,"4,27",9036880213078
5227206565356,Produits Secs & Conserves,produits patisserie,125g amandes effilees vahine,"4,16",5227206565356
2116985196319,Produits Secs & Conserves,produits patisserie,125g amande poudre vahine,"3,49",2116985196319
2810142799911,Produits Secs & Conserves,produits patisserie,125g noiset.decortiquees vahin,"3,92",2810142799911
1407241323883,Produits Secs & Conserves,produits patisserie,125g noix coco rapee vahine,"1,88",1407241323883
6612431801786,Produits Secs & Conserves,produits patisserie,125g raisins blonds vahine,"1,79",6612431801786
8235711031513,Produits Secs & Conserves,produits patisserie,3x6ml colorant patissier vahin,"2,15",8235711031513
9713004886670,Produits Secs & Conserves,produits patisserie,bougies anniversaire vahine,"2,07",9713004886670
6893978709360,Produits Secs & Conserves,produits patisserie,bougies magiques vahine,"2,02",6893978709360
5009224987226,Produits Secs & Conserves,produits patisserie,plaquet.joyeux anniversai.vahi,"2,03",5009224987226
9152312808227,Produits Secs & Conserves,produits patisserie,"19,5g fixe chantilly vahine","0,97",9152312808227
2219315185656,Produits Secs & Conserves,produits patisserie,100g pepites de chocolat vahin,"2,77",2219315185656
9397351470756,Produits Secs & Conserves,produits patisserie,17g scht gelatine 9 feuilles,"1,94",9397351470756
1251061341984,Produits Secs & Conserves,produits patisserie,50g amandes en batonnets,"2,90",1251061341984
7411694986259,Produits Secs & Conserves,produits patisserie,100g citrons confits,"3,95",7411694986259
2787869372721,Produits Secs & Conserves,produits patisserie,26g alphabet chiffres chocolat,"3,49",2787869372721
4636609870598,Produits Secs & Conserves,produits patisserie,20g coeurs & etoiles en choco,"3,49",4636609870598
5265745424963,Produits Secs & Conserves,produits patisserie,20g colorants gel,"4,27",5265745424963
592681624781,Produits Secs & Conserves,produits patisserie,poudre irisee or,"5,23",592681624781
9512862339198,Produits Secs & Conserves,produits patisserie,98g multi-deco adventure,"5,23",9512862339198
7740332157714,Produits Secs & Conserves,produits patisserie,125g fondant blanc,"3,66",7740332157714
7652713173378,Produits Secs & Conserves,produits patisserie,sirop de glucose,"4,32",7652713173378
6264414069231,Produits Secs & Conserves,produits patisserie,70g pepites caramel fudge,"3,82",6264414069231
9411401364057,Produits Secs & Conserves,produits patisserie,4g vanil madagascar poudre,"4,32",9411401364057
5065473394903,Produits Secs & Conserves,produits patisserie,100g amandes poudre brute vahi,"3,80",5065473394903
9799630063130,Produits Secs & Conserves,produits patisserie,250g raisins secs vahine,"1,83",9799630063130
7911744550449,Produits Secs & Conserves,produits patisserie,100g noisettes brutes poudre,"3,80",7911744550449
3230871907715,Produits Secs & Conserves,produits patisserie,50g pignons de pin vahine,"3,92",3230871907715
1722074443981,Produits Secs & Conserves,produits patisserie,25gcray patissi ros paillet va,"2,08",1722074443981
4852622387631,Produits Secs & Conserves,produits patisserie,50g cerneaux noix vahine,"1,87",4852622387631
5570151219506,Produits Secs & Conserves,produits patisserie,165g nappage framboise vahine,"2,47",5570151219506
8296382121683,Produits Secs & Conserves,produits patisserie,210g napp.caram.naturel vahine,"1,75",8296382121683
5501069082677,Produits Secs & Conserves,produits patisserie,caramel gout vanillenapp.210 g,"1,99",5501069082677
6145702611552,Produits Secs & Conserves,produits patisserie,bougie musicale vahine,"4,55",6145702611552
7950440162867,Produits Secs & Conserves,produits patisserie,120g glacage chocolat vahine,"2,29",7950440162867
3228353204334,Produits Secs & Conserves,produits patisserie,bougie & chif plastique vahine,"4,29",3228353204334
4774409063836,Produits Secs & Conserves,produits patisserie,bougie chif adulte 0 vahine,"1,42",4774409063836
7222137498968,Produits Secs & Conserves,produits patisserie,bougie chif adulte 1 vahine,"1,42",7222137498968
5690927317063,Produits Secs & Conserves,produits patisserie,bougie chif adulte 2 vahine,"1,42",5690927317063
5633473860105,Produits Secs & Conserves,produits patisserie,bougie chif adulte 3 vahine,"1,44",5633473860105
2900741050442,Produits Secs & Conserves,produits patisserie,bougie chif adulte 4 vahine,"1,42",2900741050442
5964039868139,Produits Secs & Conserves,produits patisserie,bougie chif adulte 5 vahine,"1,42",5964039868139
1242847873567,Produits Secs & Conserves,produits patisserie,bougie chif adulte 6 vahine,"1,42",1242847873567
2770857441825,Produits Secs & Conserves,produits patisserie,bougie chif adulte 7 vahine,"1,42",2770857441825
6618735510309,Produits Secs & Conserves,produits patisserie,bougie chiffre adulte 8 vahine,"1,42",6618735510309
5709518289578,Produits Secs & Conserves,produits patisserie,bougie chiffre adulte 9 vahine,"1,42",5709518289578
8594628993077,Produits Secs & Conserves,produits patisserie,50g cerneaux noix pecan vahine,"2,09",8594628993077
8941035248228,Produits Secs & Conserves,produits patisserie,125g pepit.fr secs caram vahin,"2,92",8941035248228
7562175690028,Produits Secs & Conserves,produits patisserie,150g fruits conf.ass.vahine,"3,26",7562175690028
6335091326751,Produits Secs & Conserves,produits patisserie,150g bigarreaux confits vahine,"3,85",6335091326751
7655498100314,Produits Secs & Conserves,produits patisserie,150g macedoine vahine,"3,08",7655498100314
5548128643494,Produits Secs & Conserves,produits patisserie,200g prep.creme frangipane vah,"3,45",5548128643494
2507764720187,Produits Secs & Conserves,produits patisserie,35g cannelle ceylan poudre vah,"2,35",2507764720187
752133915662,Produits Secs & Conserves,produits patisserie,pruneaux agen 250g vahine,"2,79",752133915662
382849413852,Produits Secs & Conserves,produits patisserie,18g 3sachets gelatine poudre,"1,74",382849413852
6543065672736,Produits Secs & Conserves,produits patisserie,100g godet ecorces orange conf,"3,76",6543065672736
8410506877235,Produits Secs & Conserves,produits patisserie,50ml fl.arome naturel vanille,"4,49",8410506877235
9439733327288,Produits Secs & Conserves,produits patisserie,200g prep.crem.amandine vahine,"2,77",9439733327288
3228185928220,Produits Secs & Conserves,produits patisserie,350g sweety napp.chocolat vahi,"3,05",3228185928220
36979363873,Produits Secs & Conserves,produits patisserie,3g vanille st 2 gousses vahine,"4,45",36979363873
1951250691200,Produits Secs & Conserves,produits patisserie,90g pepites nougatine vahine,"2,81",1951250691200
231215139336,Produits Secs & Conserves,produits patisserie,125g amandin,"3,85",231215139336
379080845032,Produits Secs & Conserves,produits patisserie,100g amandes effilees grillees,"4,37",379080845032
7375954774837,Produits Secs & Conserves,produits patisserie,100g ti coco vahine,"2,29",7375954774837
8294773656766,Produits Secs & Conserves,produits patisserie,10 bougies effilees design,"2,19",8294773656766
4295920228831,Produits Secs & Conserves,produits patisserie,12 bougies paillettes princess,"2,17",4295920228831
7737339251895,Produits Secs & Conserves,produits patisserie,55g coeurs en sucre vahine,"2,08",7737339251895
272380070937,Produits Secs & Conserves,produits patisserie,52g etoiles en sucre vahine,"2,15",272380070937
5417077116933,Produits Secs & Conserves,produits patisserie,90g billes 3 chocos vahine,"3,14",5417077116933
2942842787931,Produits Secs & Conserves,produits patisserie,30g mini marshmallow vahine,"3,18",2942842787931
6377609077812,Produits Secs & Conserves,produits patisserie,23gr cray patissier choc noise,"2,40",6377609077812
2060849711745,Produits Secs & Conserves,produits patisserie,45g pignons pin grilles vahine,"4,15",2060849711745
5987733745106,Produits Secs & Conserves,produits patisserie,50g eclats pistache torrefiees,"4,05",5987733745106
7759394577685,Produits Secs & Conserves,produits patisserie,200g amande poudre vahine,"4,21",7759394577685
5689766860863,Produits Secs & Conserves,produits patisserie,200g noix de coco rapee vahine,"2,97",5689766860863
7548020366794,Produits Secs & Conserves,produits patisserie,3g vanille intense vahine bio,"3,38",7548020366794
423033401652,Produits Secs & Conserves,produits patisserie,8g agar vahine,"3,26",423033401652
2770814193553,Produits Secs & Conserves,produits patisserie,165g nappage fr.rouges vahine,"2,71",2770814193553
9515628401339,Produits Secs & Conserves,produits patisserie,190g nappage caramel sel vahin,"2,86",9515628401339
6447822688825,Produits Secs & Conserves,produits patisserie,190g nappage chocolat vahine,"2,85",6447822688825
7812914624416,Produits Secs & Conserves,produits patisserie,125g noisette.grill.poudre vah,"4,35",7812914624416
1264359192652,Produits Secs & Conserves,produits patisserie,100g pepit.chocolat lait vahin,"3,11",1264359192652
7162145045830,Produits Secs & Conserves,produits patisserie,100g pepites chunk choco.nr.va,"2,97",7162145045830
8115189039134,Produits Secs & Conserves,produits patisserie,200g pepites choc.noir vahine,"4,60",8115189039134
8472385567984,Produits Secs & Conserves,produits patisserie,82g duc sucre dore vahine,"3,05",8472385567984
1282847881207,Produits Secs & Conserves,produits patisserie,120g glacage blanc  vahine,"2,75",1282847881207
5859963879894,Produits Secs & Conserves,produits patisserie,20ml arome pistache vahine,"2,19",5859963879894
7383865715660,Produits Secs & Conserves,produits patisserie,100g pep.chunks 3 choc vahine,"2,88",7383865715660
9118299354841,Produits Secs & Conserves,produits patisserie,100g pralines roses vahine,"3,08",9118299354841
2922849290013,Produits Secs & Conserves,produits patisserie,120g  sucre chouquettes vahine,"2,14",2922849290013
6309646509628,Produits Secs & Conserves,produits patisserie,20ml arome nx coco  vahine,"2,11",6309646509628
6851099816549,Produits Secs & Conserves,produits patisserie,20ml arome fraise vahine,"2,28",6851099816549
3576428183408,Produits Secs & Conserves,produits patisserie,165g nap mang passion vahine,"2,67",3576428183408
4229189386176,Produits Secs & Conserves,produits patisserie,150g pate amande tricolore40%,"2,72",4229189386176
3043385659831,Produits Secs & Conserves,produits patisserie,250g pate a sucre vahine,"3,99",3043385659831
4992934879906,Produits Secs & Conserves,produits patisserie,250g pate a sucre roug/nr/ vte,"3,83",4992934879906
3183876102893,Produits Secs & Conserves,produits patisserie,125g cranberries vahine,"3,71",3183876102893
1978870668907,Produits Secs & Conserves,produits patisserie,3gvanille papouasi 1gous vahin,"3,76",1978870668907
9552935624911,Produits Secs & Conserves,produits patisserie,6g vanille fagot 4 gousses,"7,27",9552935624911
5286338429879,Produits Secs & Conserves,produits patisserie,50g perles argentees vahine,"3,40",5286338429879
3188412631077,Produits Secs & Conserves,produits patisserie,55g perles ivoires vahine,"3,34",3188412631077
2925862175471,Produits Secs & Conserves,produits patisserie,55g perles bleues vahine,"3,26",2925862175471
6335060803557,Produits Secs & Conserves,produits patisserie,20g coeurs en sucre vahine,"3,14",6335060803557
8877104340109,Produits Secs & Conserves,produits patisserie,20g roses en sucre vahine,"3,09",8877104340109
7407606822443,Produits Secs & Conserves,produits patisserie,140g top cupcake vanill vahine,"3,86",7407606822443
3983918804040,Produits Secs & Conserves,produits patisserie,140g topp cupcake choc vahine,"3,77",3983918804040
